,country,x,y
0,Algeria,-93.0,158.0
1,Angola,-24.0,-90.0
2,Benin,-116.0,50.0
3,Botswana,26.0,-158.0
4,Burkina Faso,-131.0,60.0
5,Burundi,58.0,-39.0
6,Cabo Verde,-242.0,102.0
7,Cameroon,-58.0,15.0
8,Central African Republic,-1.0,28.0
9,Chad,-17.0,73.0
10,Comoros,148.0,-87.0
11,Democratic Republic Of Congo,38.0,-65.0
12,Republic Of Congo,-35.0,-19.0
13,Djibouti,135.0,57.0
14,Egypt,46.0,152.0
15,Equatorial Guinea,-66.0,-7.0
16,Eritrea,104.0,84.0
17,Eswatini,63.0,-183.0
18,Ethiopia,133.0,29.0
19,Gabon,-57.0,-17.0
20,Gambia,-229.0,69.0
21,Ghana,-134.0,37.0
22,Guinea,-192.0,49.0
23,Guinea-Bissau,-219.0,60.0
24,Ivory Coast,-162.0,30.0
25,Kenya,104.0,-16.0
26,Lesotho,42.0,-201.0
27,Liberia,-191.0,28.0
28,Libya,-24.0,149.0
29,Madagascar,154.0,-134.0
30,Malawi,81.0,-105.0
31,Mali,-146.0,94.0
32,Mauritania,-187.0,110.0
33,Mauritius,197.0,-139.0
34,Morocco,-158.0,182.0
35,Mozambique,101.0,-109.0
36,Namibia,-20.0,-155.0
37,Niger,-80.0,93.0
38,Nigeria,-85.0,41.0
39,Rwanda,59.0,-27.0
40,São Tomé and Príncipe,-103.0,-19.0
41,Senegal,-221.0,79.0
42,Seychelles,192.0,-40.0
43,Sierra Leone,-204.0,39.0
44,Somalia,157.0,13.0
45,South Africa,15.0,-206.0
46,South Sudan,57.0,24.0
47,Sudan,48.0,84.0
48,Tanzania,87.0,-57.0
49,Togo,-124.0,37.0
50,Tunisia,-65.0,197.0
51,Uganda,73.0,-6.0
52,Zambia,33.0,-103.0
53,Zimbabwe,56.0,-136.0
